Method,dataset,seed,Train size,Number of features for test,kBET,ASW (true labels),ASW (predicted labels),ARI,NMI
MultiVI,scmul,45,572,800,0.9468085106382979,0.31132132,0.6552678,0.28990404429107197,0.3216076916297995
MultiVI,scmul,45,572,1200,0.9326241134751773,0.31156063,0.63849044,0.2895464213622471,0.322866673471243
MultiVI,scmul,45,572,1600,0.9414893617021277,0.3067677,0.6021377,0.28997922442233054,0.3205993862056545
MultiVI,scmul,45,572,2000,0.9379432624113475,0.30184942,0.63838243,0.28958402492096447,0.320965412707412
MultiVI,scmul,46,572,400,0.9290780141843972,0.37143078,0.6516584,0.29117371541827186,0.32234447597938615
MultiVI,scmul,46,572,800,0.9078014184397163,0.36298496,0.6527759,0.2909874289919437,0.32208041689336575
MultiVI,scmul,46,572,1200,0.9060283687943262,0.35772222,0.6268945,0.29111485593806236,0.32031777302663134
MultiVI,scmul,46,572,1600,0.8776595744680851,0.35663444,0.6325851,0.29207461986003114,0.3224760431788585
MultiVI,scmul,46,572,2000,0.9042553191489362,0.3498177,0.62251997,0.29030868183474073,0.31935258401802424
DeepTAN,snrna,42,5439,800,0.9823269513991163,0.44082722,0.7160332,0.333062430381069,0.3442746382910809
DeepTAN,snrna,46,5439,800,1.0,0.031047285,0.5738019,0.3315458755136391,0.3446279681490668
DeepTAN,snrna,44,5439,800,0.9322533136966127,0.42769378,0.6376044,0.3339556178390544,0.3452700346369401
DeepTAN,snrna,45,5439,800,0.9867452135493373,0.28618225,0.6857971,0.3321153129763506,0.3431240516071192
DeepTAN,snrna,43,5439,800,0.9617083946980854,0.40673974,0.58105046,0.3326672106903249,0.34266246978338666
DeepTAN,snrna,42,680,1200,0.8895434462444771,0.3022729,0.6389983,0.3332962491979485,0.34394265284161685
DeepTAN,snrna,46,680,1200,0.9631811487481591,0.48895854,0.587947,0.332570057385738,0.34274513574622895
DeepTAN,snrna,44,680,1200,0.9543446244477173,0.4486349,0.62534624,0.33334624761228127,0.3431993840571503
DeepTAN,snrna,45,680,1200,0.9941089837997055,0.4930357,0.62893754,0.3330501292142315,0.34379401409043464
DeepTAN,snrna,43,680,1200,0.9617083946980854,0.40783298,0.6162202,0.33270519756169,0.3432644715058976
DeepTAN,snrna,42,1359,400,0.9882179675994109,0.26232547,0.6870106,0.3332426506127513,0.34342361479050865
DeepTAN,snrna,46,1359,400,0.9617083946980854,0.25219807,0.6286477500000001,0.33301899654995587,0.3456378625345796
DeepTAN,snrna,44,1359,400,0.9896907216494846,0.31307524,0.52458304,0.3340023094551148,0.3429060417006602
DeepTAN,snrna,45,1359,400,0.96759941089838,0.3144928,0.5842458,0.3311777170746942,0.3444643220016961
DeepTAN,snrna,42,5439,2000,0.9823269513991163,0.36053383,0.6097537000000001,0.33348173109060875,0.34456717282010757
DeepTAN,snrna,46,5439,2000,0.9955817378497791,0.031584203,0.6657463,0.3339883042368048,0.3481978530749341
DeepTAN,snrna,44,5439,2000,0.9970544918998527,0.4062078,0.69098646,0.3329307527222278,0.3424166135134071
DeepTAN,snrna,45,5439,2000,0.9926362297496318,0.44251302,0.70833963,0.33350215618836215,0.3448775043285928
DeepTAN,snrna,43,5439,2000,0.9882179675994109,0.40903592,0.69603294,0.33314331230366234,0.34280599300233133
DeepTAN,snrna,42,5439,1200,0.979381443298969,0.3416869,0.7104335,0.33197828964904497,0.3435434876575155
