n_feat,trn_grad,trn_data,Method,Capability,fname,weighted_f1,macro_f1,micro_f1,auroc,auprc,accuracy,weighted_precision,weighted_recall,seed,seed_num,task,split,path
1600,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.3224441771329778,0.15846273291925467,0.29455081001472755,0.5068407551169969,0.5459799142737457,0.29455081001472755,0.5503557419123657,0.29455081001472755,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_1600/preds+seed_42+multitask+tst.pkl
1600,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.5560751328371608,0.24709955064839595,0.5714285714285714,0.5031959130629555,0.5455318131755573,0.5714285714285714,0.5493233000688379,0.5714285714285714,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_1600/preds+seed_46+multitask+tst.pkl
1600,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.5816780231236387,0.2065687121866897,0.7039764359351989,0.4962310856747579,0.5402403283005474,0.7039764359351989,0.49558282235202517,0.7039764359351989,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_1600/preds+seed_44+multitask+tst.pkl
1600,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.05894305229190496,0.07878411910669975,0.187039764359352,0.5179000796700384,0.5594666353760662,0.187039764359352,0.03498387345160192,0.187039764359352,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_1600/preds+seed_45+multitask+tst.pkl
1600,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_43+multitask+tst.pkl,0.00006930607294464177,0.0029411764705882353,0.005891016200294551,0.5093067639318436,0.5502246036211207,0.005891016200294551,0.000034858084025411545,0.005891016200294551,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_1600/preds+seed_43+multitask+tst.pkl
800,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.4623660360258299,0.2543810569351908,0.4256259204712813,0.5081168172903547,0.5557245924193199,0.4256259204712813,0.5430730035439275,0.4256259204712813,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_800/preds+seed_42+multitask+tst.pkl
800,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.4369728720649879,0.2410878616043609,0.40353460972017674,0.5260583992222218,0.5633584130127508,0.40353460972017674,0.5703306563351761,0.40353460972017674,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_800/preds+seed_46+multitask+tst.pkl
800,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.5396481178966972,0.24631833885386614,0.5449189985272459,0.506353745957727,0.5481260576176811,0.5449189985272459,0.5392601631514014,0.5449189985272459,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_800/preds+seed_44+multitask+tst.pkl
800,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.414142581738151,0.23738301637389173,0.36818851251840945,0.5310774562703977,0.5535040621524567,0.36818851251840945,0.5641139603499106,0.36818851251840945,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_800/preds+seed_45+multitask+tst.pkl
800,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Labelling,preds+seed_43+multitask+tst.pkl,0.1428996355369085,0.09688868443771265,0.15905743740795286,0.4900972635275463,0.5432607974945253,0.15905743740795286,0.5231283013815595,0.15905743740795286,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_800/preds+seed_43+multitask+tst.pkl
800,4,sc_rna_annotated_minmi0.1_top2000_half,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.09137388251769629,0.11147289780152425,0.18851251840942562,0.505342747190276,0.5456147533496781,0.18851251840942562,0.4511142599229148,0.18851251840942562,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_half+top_800/preds+seed_42+multitask+tst.pkl
800,4,sc_rna_annotated_minmi0.1_top2000_half,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.24773092460904067,0.14251412037550765,0.22533136966126657,0.46988598804011084,0.5161196974102388,0.22533136966126657,0.4919677093462071,0.22533136966126657,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_half+top_800/preds+seed_46+multitask+tst.pkl
800,4,sc_rna_annotated_minmi0.1_top2000_half,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.4714205915498593,0.23379479567627823,0.43593519882179677,0.4757878765936428,0.5304059813903732,0.43593519882179677,0.5258852299632663,0.43593519882179677,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_half+top_800/preds+seed_44+multitask+tst.pkl
800,4,sc_rna_annotated_minmi0.1_top2000_half,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.46189150724858,0.25332505486773493,0.4212076583210604,0.5219925784051773,0.5586518450312723,0.4212076583210604,0.5678655661977521,0.4212076583210604,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_half+top_800/preds+seed_45+multitask+tst.pkl
800,4,sc_rna_annotated_minmi0.1_top2000_half,DeepTAN,Labelling,preds+seed_43+multitask+tst.pkl,0.5078495492818602,0.22817168915380717,0.49189985272459497,0.48559536365269257,0.5371558865814516,0.49189985272459497,0.5362930242380194,0.49189985272459497,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_half+top_800/preds+seed_43+multitask+tst.pkl
1600,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.3827284928318991,0.20635269838042722,0.3328424153166421,0.497262013623149,0.5474668296427259,0.3328424153166421,0.5197407342307392,0.3328424153166421,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1600/preds+seed_42+multitask+tst.pkl
